dept_no,emp_no,from_date,to_date
d001,110022,2027-05-17,2027-05-17
d001,110039,2027-05-18,2027-05-18
d002,110085,2027-05-19,2027-05-19
d002,110114,2027-05-20,2027-05-20
d003,110183,2027-05-21,2027-05-21
d003,110228,2027-05-22,2027-05-22
d004,110303,2027-05-23,2027-05-23
d004,110344,2027-05-24,2027-05-24
d004,110386,2027-05-25,2027-05-25
d004,110420,2027-05-26,2027-05-26
d005,110511,2027-05-27,2027-05-27
d005,110567,2027-05-28,2027-05-28
d006,110725,2027-05-29,2027-05-29
d006,110765,2027-05-30,2027-05-30
d006,110800,2027-05-31,2027-05-31
d006,110854,2027-06-01,2027-06-01
d007,111035,2027-06-02,2027-06-02
d007,111133,2027-06-03,2027-06-03
d008,111400,2027-06-04,2027-06-04
d008,111534,2027-06-05,2027-06-05
d009,111692,2027-06-06,2027-06-06
d009,111784,2027-06-07,2027-06-07
d009,111877,2027-06-08,2027-06-08
d009,111939,2027-06-09,2027-06-09